"hand" "bid" "type" "card_strengths"
"1" "2468T" 910 1 103050709
"2" "2567Q" 176 1 104050611
"3" "25Q73" 352 1 104110602
"4" "26J4K" 624 1 105100312
"5" "27354" 266 1 106020403
"6" "275Q9" 84 1 106041108
"7" "28JK3" 850 1 107101202
"8" "2976A" 227 1 108060513
"9" "29J45" 996 1 108100304
"10" "29JT5" 204 1 108100904
"11" "29KTA" 173 1 108120913
"12" "2J4K5" 842 1 110031204
"13" "2JQ64" 139 1 110110503
"14" "2Q4A9" 198 1 111031308
"15" "2QTK5" 456 1 111091204
"16" "2K5A3" 154 1 112041302
"17" "2A8Q7" 361 1 113071106
"18" "2AJ47" 644 1 113100306
"19" "32JA6" 335 1 201101305
"20" "32A95" 925 1 201130804
"21" "35JQ9" 951 1 204101108
"22" "35KQT" 233 1 204121109
"23" "35AKJ" 682 1 204131210
"24" "36874" 356 1 205070603
"25" "36TA8" 906 1 205091307
"26" "3792Q" 602 1 206080111
"27" "37QTA" 747 1 206110913
"28" "385K9" 217 1 207041208
"29" "38JAK" 748 1 207101312
"30" "38Q65" 619 1 207110504
"31" "39JQ8" 319 1 208101107
"32" "39A2T" 523 1 208130109
"33" "39A74" 941 1 208130603
"34" "3J265" 574 1 210010504
"35" "3K2QA" 274 1 212011113
"36" "3K695" 801 1 212050804
"37" "3K9J4" 360 1 212081003
"38" "3KT64" 245 1 212090503
"39" "3A9Q5" 215 1 213081104
"40" "43962" 51 1 302080501
"41" "45K62" 674 1 304120501
"42" "469TA" 965 1 305080913
"43" "4753Q" 209 1 306040211
"44" "479Q2" 731 1 306081101
"45" "47T62" 393 1 306090501
"46" "47J8K" 162 1 306100712
"47" "47K83" 536 1 306120702
"48" "48726" 782 1 307060105
"49" "48J6Q" 67 1 307100511
"50" "4T25A" 423 1 309010413
"51" "4JK3T" 920 1 310120209
"52" "4JKQ6" 664 1 310121105
"53" "4Q372" 525 1 311020601
"54" "4Q69T" 52 1 311050809
"55" "529K6" 236 1 401081205
"56" "52Q49" 707 1 401110308
